NN match: P0=nn vs P1=nn
  P0: nn nn_models/M_55k_snap6th/best.pt
  P1: nn nn_models/M_55k_game6th/best.pt
  sims:     500 (mcts seats only)
  c_uct:    1.4
  n_random_fencing: 4
  fpu_offset: 0.0
  mcts_temperature: 0.2
  nn_temperature: 0.0
  games:    200 (seeds 0..199)
  jobs:     4

lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
[  1/200] seed=  1 SP=0 P0= 27 P1= 23 (P0)  P0W=1 P1W=0 D=0  avgM=+4.00  t=1.4s elapsed=3s eta=619s
[ 71/200] seed= 69 SP=0 P0= 31 P1= 22 (P0)  P0W=52 P1W=19 D=0  avgM=+4.24  t=2.3s elapsed=30s eta=55s
[ 72/200] seed= 72 SP=1 P0= 34 P1= 24 (P0)  P0W=53 P1W=19 D=0  avgM=+4.32  t=1.1s elapsed=31s eta=55s
[ 73/200] seed= 74 SP=0 P0= 29 P1= 28 (P0)  P0W=54 P1W=19 D=0  avgM=+4.27  t=1.4s elapsed=32s eta=55s
[ 74/200] seed= 71 SP=1 P0= 35 P1= 27 (P0)  P0W=55 P1W=19 D=0  avgM=+4.32  t=2.7s elapsed=32s eta=54s
[ 75/200] seed= 73 SP=1 P0= 31 P1= 27 (P0)  P0W=56 P1W=19 D=0  avgM=+4.32  t=1.9s elapsed=32s eta=53s
[ 76/200] seed= 75 SP=1 P0= 24 P1= 28 (P1)  P0W=56 P1W=20 D=0  avgM=+4.21  t=1.5s elapsed=32s eta=53s
[ 77/200] seed= 77 SP=0 P0= 23 P1= 29 (P1)  P0W=56 P1W=21 D=0  avgM=+4.08  t=1.2s elapsed=33s eta=53s
[ 78/200] seed= 76 SP=1 P0= 32 P1= 27 (P0)  P0W=57 P1W=21 D=0  avgM=+4.09  t=1.6s elapsed=33s eta=52s
[ 79/200] seed= 78 SP=1 P0= 29 P1= 25 (P0)  P0W=58 P1W=21 D=0  avgM=+4.09  t=1.5s elapsed=33s eta=51s
[ 80/200] seed= 79 SP=0 P0= 25 P1= 24 (P0)  P0W=59 P1W=21 D=0  avgM=+4.05  t=1.3s elapsed=34s eta=50s
