Run dir: nn_models/sp_v_256x2
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache MISS: encoding cpp_selfplay_30k
  encoded cpp_selfplay_30k/worker_03_c020.pkl: descs so far=5132426
  encoded cpp_selfplay_30k/worker_03_c021.pkl: descs so far=5153424
  encoded cpp_selfplay_30k/worker_03_c022.pkl: descs so far=5173952
  encoded cpp_selfplay_30k/worker_03_c023.pkl: descs so far=5194802
  encoded cpp_selfplay_30k/worker_03_c024.pkl: descs so far=5215510
  encoded cpp_selfplay_30k/worker_03_c025.pkl: descs so far=5236396
  encoded cpp_selfplay_30k/worker_03_c026.pkl: descs so far=5257714
  encoded cpp_selfplay_30k/worker_03_c027.pkl: descs so far=5278360
  encoded cpp_selfplay_30k/worker_03_c028.pkl: descs so far=5299320
  encoded cpp_selfplay_30k/worker_03_c029.pkl: descs so far=5320074
  encoded cpp_selfplay_30k/worker_03_c030.pkl: descs so far=5340936
  encoded cpp_selfplay_30k/worker_03_c031.pkl: descs so far=5361526
  encoded cpp_selfplay_30k/worker_03_c032.pkl: descs so far=5382202
  encoded cpp_selfplay_30k/worker_03_c033.pkl: descs so far=5402820
  encoded cpp_selfplay_30k/worker_03_c034.pkl: descs so far=5423770
  encoded cpp_selfplay_30k/worker_03_c035.pkl: descs so far=5444078
  encoded cpp_selfplay_30k/worker_03_c036.pkl: descs so far=5465252
  encoded cpp_selfplay_30k/worker_03_c037.pkl: descs so far=5486226
  encoded cpp_selfplay_30k/worker_03_c038.pkl: descs so far=5506740
  encoded cpp_selfplay_30k/worker_03_c039.pkl: descs so far=5527298
  encoded cpp_selfplay_30k/worker_03_c040.pkl: descs so far=5548342
  encoded cpp_selfplay_30k/worker_03_c041.pkl: descs so far=5569154
  encoded cpp_selfplay_30k/worker_03_c042.pkl: descs so far=5589738
  encoded cpp_selfplay_30k/worker_03_c043.pkl: descs so far=5610544
  encoded cpp_selfplay_30k/worker_03_c044.pkl: descs so far=5631200
  encoded cpp_selfplay_30k/worker_03_c045.pkl: descs so far=5652036
  encoded cpp_selfplay_30k/worker_03_c046.pkl: descs so far=5672782
  encoded cpp_selfplay_30k/worker_03_c047.pkl: descs so far=5693882
  encoded cpp_selfplay_30k/worker_03_c048.pkl: descs so far=5714708
  encoded cpp_selfplay_30k/worker_03_c049.pkl: descs so far=5735262
  encoded cpp_selfplay_30k/worker_03_c050.pkl: descs so far=5755938
  encoded cpp_selfplay_30k/worker_03_c051.pkl: descs so far=5776840
  encoded cpp_selfplay_30k/worker_03_c052.pkl: descs so far=5797702
  encoded cpp_selfplay_30k/worker_03_c053.pkl: descs so far=5818664
  encoded cpp_selfplay_30k/worker_03_c054.pkl: descs so far=5839914
  encoded cpp_selfplay_30k/worker_03_c055.pkl: descs so far=5860964
  encoded cpp_selfplay_30k/worker_03_c056.pkl: descs so far=5881886
  encoded cpp_selfplay_30k/worker_03_c057.pkl: descs so far=5902940
  encoded cpp_selfplay_30k/worker_03_c058.pkl: descs so far=5924260
  encoded cpp_selfplay_30k/worker_03_c059.pkl: descs so far=5945108
  encoded cpp_selfplay_30k/worker_03_c060.pkl: descs so far=5965914
  encoded cpp_selfplay_30k/worker_03_c061.pkl: descs so far=5986568
  encoded cpp_selfplay_30k/worker_03_c062.pkl: descs so far=6007540
  encoded cpp_selfplay_30k/worker_03_c063.pkl: descs so far=6028448
